"File","Title","Type","Repo","Status","Detail"
"US-A10-manage-user-reports.md","US-A10 - Manage User Reports (Admin)","Backend Community Feature","Emporio-Labs/FITFLIX_BACKEND","CREATED","https://github.com/Emporio-Labs/FITFLIX_BACKEND/issues/61"
"US-A1-manage-community-posts.md","US-A1 - Manage Community Posts (Admin)","Backend Community Feature","Emporio-Labs/FITFLIX_BACKEND","CREATED","https://github.com/Emporio-Labs/FITFLIX_BACKEND/issues/62"
"US-A2-moderate-comments.md","US-A2 - Moderate Comments (Admin)","Backend Community Feature","Emporio-Labs/FITFLIX_BACKEND","CREATED","https://github.com/Emporio-Labs/FITFLIX_BACKEND/issues/63"
"US-A3-manage-users.md","US-A3 - Manage Users (Admin)","Backend Community Feature","Emporio-Labs/FITFLIX_BACKEND","CREATED","https://github.com/Emporio-Labs/FITFLIX_BACKEND/issues/64"
"US-A4-manage-trainer-roles.md","US-A4 - Manage Trainer Roles (Admin)","Backend Community Feature","Emporio-Labs/FITFLIX_BACKEND","CREATED","https://github.com/Emporio-Labs/FITFLIX_BACKEND/issues/65"
"US-A5-approve-membership-requests.md","US-A5 - Approve Membership Requests (Admin)","Backend Community Feature","Emporio-Labs/FITFLIX_BACKEND","CREATED","https://github.com/Emporio-Labs/FITFLIX_BACKEND/issues/66"
"US-A6-suspend-or-ban-users.md","US-A6 - Suspend or Ban Users (Admin)","Backend Community Feature","Emporio-Labs/FITFLIX_BACKEND","CREATED","https://github.com/Emporio-Labs/FITFLIX_BACKEND/issues/67"
"US-A7-monitor-community-activity.md","US-A7 - Monitor Community Activity (Admin)","Backend Community Feature","Emporio-Labs/FITFLIX_BACKEND","CREATED","https://github.com/Emporio-Labs/FITFLIX_BACKEND/issues/68"
"US-A8-pin-important-announcements.md","US-A8 - Pin Important Announcements (Admin)","Backend Community Feature","Emporio-Labs/FITFLIX_BACKEND","CREATED","https://github.com/Emporio-Labs/FITFLIX_BACKEND/issues/69"
"US-A9-remove-spam-and-offensive-content.md","US-A9 - Remove Spam and Offensive Content (Admin)","Backend Community Feature","Emporio-Labs/FITFLIX_BACKEND","CREATED","https://github.com/Emporio-Labs/FITFLIX_BACKEND/issues/70"
"US-I1-create-posts.md","US-I1 - Create Posts (Insider)","Backend Community Feature","Emporio-Labs/FITFLIX_BACKEND","CREATED","https://github.com/Emporio-Labs/FITFLIX_BACKEND/issues/71"
"US-I2-like-community-posts.md","US-I2 - Like Community Posts (Insider)","Backend Community Feature","Emporio-Labs/FITFLIX_BACKEND","CREATED","https://github.com/Emporio-Labs/FITFLIX_BACKEND/issues/72"
"US-I3-comment-on-posts.md","US-I3 - Comment on Posts (Insider)","Backend Community Feature","Emporio-Labs/FITFLIX_BACKEND","CREATED","https://github.com/Emporio-Labs/FITFLIX_BACKEND/issues/73"
"US-I4-share-posts.md","US-I4 - Share Posts (Insider)","Backend Community Feature","Emporio-Labs/FITFLIX_BACKEND","CREATED","https://github.com/Emporio-Labs/FITFLIX_BACKEND/issues/74"
